ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
973,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.0,E:\track.trk
974,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.0,E:\track.trk
975,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.0,E:\track.trk
976,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.0,E:\track.trk
977,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.0,E:\track.trk
978,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.0,E:\track.trk
979,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.0,E:\track.trk
980,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.0,E:\track.trk
981,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.0,E:\track.trk
982,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.0,E:\track.trk
983,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.0,E:\track.trk
984,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.0,E:\track.trk
985,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.0,E:\track.trk
986,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.0,E:\track.trk
987,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.0,E:\track.trk
988,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.0,E:\track.trk
989,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.0,E:\track.trk
990,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,1.0,0.0,E:\track.trk
991,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.5,E:\track.trk
992,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.5,E:\track.trk
993,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.5,E:\track.trk
994,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.5,E:\track.trk
995,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.5,E:\track.trk
996,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.0,0.5,E:\track.trk
997,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.5,E:\track.trk
998,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.5,E:\track.trk
999,Mid-wave Infarared - MWIR,0,20,60,320,256,10,8,0.5,0.5,E:\track.trk
